"ID";"RegioS";"Eigendom";"Perioden";"GemiddeldeWOZWaardeVanWoningen_1"
"1891";"GM0744";"A047048";"2020JJ00";"     274"
"1892";"GM0744";"A047048";"2021JJ00";"     281"
"1893";"GM0744";"A047048";"2022JJ00";"     294"
"1894";"GM0744";"A047048";"2023JJ00";"     309"
"1895";"GM0744";"A047048";"2024JJ00";"       ."
"1896";"GM0308";"T001132";"2019JJ00";"     316"
"1897";"GM0308";"T001132";"2020JJ00";"     343"
"1898";"GM0308";"T001132";"2021JJ00";"     373"
"1899";"GM0308";"T001132";"2022JJ00";"     410"
"1900";"GM0308";"T001132";"2023JJ00";"     471"
"1901";"GM0308";"T001132";"2024JJ00";"     491"
"1902";"GM0308";"1014800";"2019JJ00";"     391"
"1903";"GM0308";"1014800";"2020JJ00";"     424"
"1904";"GM0308";"1014800";"2021JJ00";"     462"
"1905";"GM0308";"1014800";"2022JJ00";"     504"
"1906";"GM0308";"1014800";"2023JJ00";"     579"
"1907";"GM0308";"1014800";"2024JJ00";"       ."
"1908";"GM0308";"A047047";"2019JJ00";"     183"
"1909";"GM0308";"A047047";"2020JJ00";"     200"
"1910";"GM0308";"A047047";"2021JJ00";"     218"
"1911";"GM0308";"A047047";"2022JJ00";"     248"
"1912";"GM0308";"A047047";"2023JJ00";"     289"
"1913";"GM0308";"A047047";"2024JJ00";"       ."
"1914";"GM0308";"A047048";"2019JJ00";"     218"
"1915";"GM0308";"A047048";"2020JJ00";"     237"
"1916";"GM0308";"A047048";"2021JJ00";"     257"
"1917";"GM0308";"A047048";"2022JJ00";"     279"
"1918";"GM0308";"A047048";"2023JJ00";"     314"
"1919";"GM0308";"A047048";"2024JJ00";"       ."
"1920";"GM0489";"T001132";"2019JJ00";"     288"
"1921";"GM0489";"T001132";"2020JJ00";"     314"
"1922";"GM0489";"T001132";"2021JJ00";"     336"
"1923";"GM0489";"T001132";"2022JJ00";"     367"
"1924";"GM0489";"T001132";"2023JJ00";"     421"
"1925";"GM0489";"T001132";"2024JJ00";"     436"
"1926";"GM0489";"1014800";"2019JJ00";"     321"
"1927";"GM0489";"1014800";"2020JJ00";"     353"
"1928";"GM0489";"1014800";"2021JJ00";"     377"
"1929";"GM0489";"1014800";"2022JJ00";"     409"
"1930";"GM0489";"1014800";"2023JJ00";"     470"
"1931";"GM0489";"1014800";"2024JJ00";"       ."
"1932";"GM0489";"A047047";"2019JJ00";"     186"
"1933";"GM0489";"A047047";"2020JJ00";"     203"
"1934";"GM0489";"A047047";"2021JJ00";"     218"
"1935";"GM0489";"A047047";"2022JJ00";"     251"
"1936";"GM0489";"A047047";"2023JJ00";"     283"
"1937";"GM0489";"A047047";"2024JJ00";"       ."
"1938";"GM0489";"A047048";"2019JJ00";"     266"
"1939";"GM0489";"A047048";"2020JJ00";"     281"
"1940";"GM0489";"A047048";"2021JJ00";"     299"
"1941";"GM0489";"A047048";"2022JJ00";"     326"
"1942";"GM0489";"A047048";"2023JJ00";"     367"
"1943";"GM0489";"A047048";"2024JJ00";"       ."
"1944";"GM0203";"T001132";"2019JJ00";"     297"
"1945";"GM0203";"T001132";"2020JJ00";"     317"
"1946";"GM0203";"T001132";"2021JJ00";"     339"
"1947";"GM0203";"T001132";"2022JJ00";"     376"
"1948";"GM0203";"T001132";"2023JJ00";"     434"
"1949";"GM0203";"T001132";"2024JJ00";"     453"
"1950";"GM0203";"1014800";"2019JJ00";"     344"
"1951";"GM0203";"1014800";"2020JJ00";"     369"
"1952";"GM0203";"1014800";"2021JJ00";"     395"
"1953";"GM0203";"1014800";"2022JJ00";"     439"
"1954";"GM0203";"1014800";"2023JJ00";"     505"
"1955";"GM0203";"1014800";"2024JJ00";"       ."
"1956";"GM0203";"A047047";"2019JJ00";"     175"
"1957";"GM0203";"A047047";"2020JJ00";"     187"
"1958";"GM0203";"A047047";"2021JJ00";"     201"
"1959";"GM0203";"A047047";"2022JJ00";"     219"
"1960";"GM0203";"A047047";"2023JJ00";"     260"
"1961";"GM0203";"A047047";"2024JJ00";"       ."
"1962";"GM0203";"A047048";"2019JJ00";"     232"
"1963";"GM0203";"A047048";"2020JJ00";"     244"
"1964";"GM0203";"A047048";"2021JJ00";"     258"
"1965";"GM0203";"A047048";"2022JJ00";"     279"
"1966";"GM0203";"A047048";"2023JJ00";"     314"
"1967";"GM0203";"A047048";"2024JJ00";"       ."
"1968";"GM0888";"T001132";"2019JJ00";"     205"
"1969";"GM0888";"T001132";"2020JJ00";"     223"
"1970";"GM0888";"T001132";"2021JJ00";"     238"
"1971";"GM0888";"T001132";"2022JJ00";"     252"
"1972";"GM0888";"T001132";"2023JJ00";"     293"
"1973";"GM0888";"T001132";"2024JJ00";"     295"
"1974";"GM0888";"1014800";"2019JJ00";"     236"
"1975";"GM0888";"1014800";"2020JJ00";"     256"
"1976";"GM0888";"1014800";"2021JJ00";"     274"
"1977";"GM0888";"1014800";"2022JJ00";"     290"
"1978";"GM0888";"1014800";"2023JJ00";"     336"
"1979";"GM0888";"1014800";"2024JJ00";"       ."
"1980";"GM0888";"A047047";"2019JJ00";"     119"
"1981";"GM0888";"A047047";"2020JJ00";"     131"
"1982";"GM0888";"A047047";"2021JJ00";"     139"
"1983";"GM0888";"A047047";"2022JJ00";"     150"
"1984";"GM0888";"A047047";"2023JJ00";"     176"
"1985";"GM0888";"A047047";"2024JJ00";"       ."
"1986";"GM0888";"A047048";"2019JJ00";"     164"
"1987";"GM0888";"A047048";"2020JJ00";"     176"
"1988";"GM0888";"A047048";"2021JJ00";"     185"
"1989";"GM0888";"A047048";"2022JJ00";"     191"
"1990";"GM0888";"A047048";"2023JJ00";"     224"
"1991";"GM0888";"A047048";"2024JJ00";"       ."
"1992";"GM1954";"T001132";"2019JJ00";"     213"
"1993";"GM1954";"T001132";"2020JJ00";"     230"
"1994";"GM1954";"T001132";"2021JJ00";"     245"
"1995";"GM1954";"T001132";"2022JJ00";"     263"
"1996";"GM1954";"T001132";"2023JJ00";"     304"
"1997";"GM1954";"T001132";"2024JJ00";"     306"
"1998";"GM1954";"1014800";"2019JJ00";"     240"
"1999";"GM1954";"1014800";"2020JJ00";"     258"
"2000";"GM1954";"1014800";"2021JJ00";"     276"
"2001";"GM1954";"1014800";"2022JJ00";"     296"
"2002";"GM1954";"1014800";"2023JJ00";"     341"
"2003";"GM1954";"1014800";"2024JJ00";"       ."
"2004";"GM1954";"A047047";"2019JJ00";"     120"
"2005";"GM1954";"A047047";"2020JJ00";"     130"
"2006";"GM1954";"A047047";"2021JJ00";"     139"
"2007";"GM1954";"A047047";"2022JJ00";"     150"
"2008";"GM1954";"A047047";"2023JJ00";"     177"
"2009";"GM1954";"A047047";"2024JJ00";"       ."
"2010";"GM1954";"A047048";"2019JJ00";"     178"
"2011";"GM1954";"A047048";"2020JJ00";"     193"
"2012";"GM1954";"A047048";"2021JJ00";"     205"
"2013";"GM1954";"A047048";"2022JJ00";"     221"
"2014";"GM1954";"A047048";"2023JJ00";"     245"
"2015";"GM1954";"A047048";"2024JJ00";"       ."
"2016";"GM0370";"T001132";"2019JJ00";"     369"
"2017";"GM0370";"T001132";"2020JJ00";"     405"
"2018";"GM0370";"T001132";"2021JJ00";"     429"
"2019";"GM0370";"T001132";"2022JJ00";""
"2020";"GM0370";"T001132";"2023JJ00";""
"2021";"GM0370";"T001132";"2024JJ00";""
"2022";"GM0370";"1014800";"2019JJ00";"     409"
"2023";"GM0370";"1014800";"2020JJ00";"     447"
"2024";"GM0370";"1014800";"2021JJ00";"     475"
"2025";"GM0370";"1014800";"2022JJ00";""
"2026";"GM0370";"1014800";"2023JJ00";""
"2027";"GM0370";"1014800";"2024JJ00";""
"2028";"GM0370";"A047047";"2019JJ00";"     207"
"2029";"GM0370";"A047047";"2020JJ00";"     227"
"2030";"GM0370";"A047047";"2021JJ00";"     240"
"2031";"GM0370";"A047047";"2022JJ00";""
"2032";"GM0370";"A047047";"2023JJ00";""
"2033";"GM0370";"A047047";"2024JJ00";""
"2034";"GM0370";"A047048";"2019JJ00";"     377"
"2035";"GM0370";"A047048";"2020JJ00";"     419"
"2036";"GM0370";"A047048";"2021JJ00";"     424"
"2037";"GM0370";"A047048";"2022JJ00";""
"2038";"GM0370";"A047048";"2023JJ00";""
"2039";"GM0370";"A047048";"2024JJ00";""
"2040";"GM0889";"T001132";"2019JJ00";"     201"
"2041";"GM0889";"T001132";"2020JJ00";"     220"
"2042";"GM0889";"T001132";"2021JJ00";"     238"
"2043";"GM0889";"T001132";"2022JJ00";"     251"
"2044";"GM0889";"T001132";"2023JJ00";"     291"
"2045";"GM0889";"T001132";"2024JJ00";"     297"
"2046";"GM0889";"1014800";"2019JJ00";"     232"
"2047";"GM0889";"1014800";"2020JJ00";"     255"
"2048";"GM0889";"1014800";"2021JJ00";"     274"
"2049";"GM0889";"1014800";"2022JJ00";"     288"
"2050";"GM0889";"1014800";"2023JJ00";"     335"
"2051";"GM0889";"1014800";"2024JJ00";"       ."
"2052";"GM0889";"A047047";"2019JJ00";"     126"
"2053";"GM0889";"A047047";"2020JJ00";"     140"
"2054";"GM0889";"A047047";"2021JJ00";"     155"
"2055";"GM0889";"A047047";"2022JJ00";"     168"
"2056";"GM0889";"A047047";"2023JJ00";"     195"
"2057";"GM0889";"A047047";"2024JJ00";"       ."
"2058";"GM0889";"A047048";"2019JJ00";"     184"
"2059";"GM0889";"A047048";"2020JJ00";"     201"
"2060";"GM0889";"A047048";"2021JJ00";"     214"
"2061";"GM0889";"A047048";"2022JJ00";"     218"
"2062";"GM0889";"A047048";"2023JJ00";"     230"
"2063";"GM0889";"A047048";"2024JJ00";"       ."
"2064";"GM1945";"T001132";"2019JJ00";"     244"
"2065";"GM1945";"T001132";"2020JJ00";"     259"
"2066";"GM1945";"T001132";"2021JJ00";"     276"
"2067";"GM1945";"T001132";"2022JJ00";"     304"
"2068";"GM1945";"T001132";"2023JJ00";"     349"
"2069";"GM1945";"T001132";"2024JJ00";"     371"
"2070";"GM1945";"1014800";"2019JJ00";"     293"
"2071";"GM1945";"1014800";"2020JJ00";"     309"
"2072";"GM1945";"1014800";"2021JJ00";"     329"
"2073";"GM1945";"1014800";"2022JJ00";"     363"
"2074";"GM1945";"1014800";"2023JJ00";"     413"
"2075";"GM1945";"1014800";"2024JJ00";"       ."
"2076";"GM1945";"A047047";"2019JJ00";"     153"
"2077";"GM1945";"A047047";"2020JJ00";"     164"
"2078";"GM1945";"A047047";"2021JJ00";"     176"
"2079";"GM1945";"A047047";"2022JJ00";"     195"
"2080";"GM1945";"A047047";"2023JJ00";"     232"
"2081";"GM1945";"A047047";"2024JJ00";"       ."
"2082";"GM1945";"A047048";"2019JJ00";"     207"
"2083";"GM1945";"A047048";"2020JJ00";"     215"
"2084";"GM1945";"A047048";"2021JJ00";"     228"
"2085";"GM1945";"A047048";"2022JJ00";"     242"
"2086";"GM1945";"A047048";"2023JJ00";"     277"
"2087";"GM1945";"A047048";"2024JJ00";"       ."
"2088";"GM1724";"T001132";"2019JJ00";"     311"
"2089";"GM1724";"T001132";"2020JJ00";"     325"
"2090";"GM1724";"T001132";"2021JJ00";"     346"
"2091";"GM1724";"T001132";"2022JJ00";"     385"
"2092";"GM1724";"T001132";"2023JJ00";"     432"
"2093";"GM1724";"T001132";"2024JJ00";"     474"
"2094";"GM1724";"1014800";"2019JJ00";"     340"
"2095";"GM1724";"1014800";"2020JJ00";"     357"
"2096";"GM1724";"1014800";"2021JJ00";"     380"
"2097";"GM1724";"1014800";"2022JJ00";"     424"
"2098";"GM1724";"1014800";"2023JJ00";"     475"
"2099";"GM1724";"1014800";"2024JJ00";"       ."
"2100";"GM1724";"A047047";"2019JJ00";"     161"
"2101";"GM1724";"A047047";"2020JJ00";"     165"
"2102";"GM1724";"A047047";"2021JJ00";"     176"
"2103";"GM1724";"A047047";"2022JJ00";"     194"
"2104";"GM1724";"A047047";"2023JJ00";"     223"
"2105";"GM1724";"A047047";"2024JJ00";"       ."
"2106";"GM1724";"A047048";"2019JJ00";"     276"
"2107";"GM1724";"A047048";"2020JJ00";"     288"
"2108";"GM1724";"A047048";"2021JJ00";"     298"
"2109";"GM1724";"A047048";"2022JJ00";"     328"
"2110";"GM1724";"A047048";"2023JJ00";"     359"
"2111";"GM1724";"A047048";"2024JJ00";"       ."
"2112";"GM0893";"T001132";"2019JJ00";"     229"
"2113";"GM0893";"T001132";"2020JJ00";"     247"
"2114";"GM0893";"T001132";"2021JJ00";"     262"
"2115";"GM0893";"T001132";"2022JJ00";"     281"
"2116";"GM0893";"T001132";"2023JJ00";"     327"
"2117";"GM0893";"T001132";"2024JJ00";"     333"
"2118";"GM0893";"1014800";"2019JJ00";"     255"
"2119";"GM0893";"1014800";"2020JJ00";"     274"
"2120";"GM0893";"1014800";"2021JJ00";"     293"
"2121";"GM0893";"1014800";"2022JJ00";"     313"
"2122";"GM0893";"1014800";"2023JJ00";"     365"
"2123";"GM0893";"1014800";"2024JJ00";"       ."
"2124";"GM0893";"A047047";"2019JJ00";"     138"
"2125";"GM0893";"A047047";"2020JJ00";"     152"
"2126";"GM0893";"A047047";"2021JJ00";"     161"
"2127";"GM0893";"A047047";"2022JJ00";"     172"
"2128";"GM0893";"A047047";"2023JJ00";"     202"
"2129";"GM0893";"A047047";"2024JJ00";"       ."
"2130";"GM0893";"A047048";"2019JJ00";"     288"
"2131";"GM0893";"A047048";"2020JJ00";"     298"
"2132";"GM0893";"A047048";"2021JJ00";"     299"
"2133";"GM0893";"A047048";"2022JJ00";"     319"
"2134";"GM0893";"A047048";"2023JJ00";"     347"
"2135";"GM0893";"A047048";"2024JJ00";"       ."
"2136";"GM0373";"T001132";"2019JJ00";"     381"
"2137";"GM0373";"T001132";"2020JJ00";"     414"
"2138";"GM0373";"T001132";"2021JJ00";"     439"
"2139";"GM0373";"T001132";"2022JJ00";"     478"
"2140";"GM0373";"T001132";"2023JJ00";"     548"
"2141";"GM0373";"T001132";"2024JJ00";"     580"
"2142";"GM0373";"1014800";"2019JJ00";"     447"
"2143";"GM0373";"1014800";"2020JJ00";"     485"
"2144";"GM0373";"1014800";"2021JJ00";"     515"
"2145";"GM0373";"1014800";"2022JJ00";"     561"
"2146";"GM0373";"1014800";"2023JJ00";"     644"
"2147";"GM0373";"1014800";"2024JJ00";"       ."
"2148";"GM0373";"A047047";"2019JJ00";"     205"
"2149";"GM0373";"A047047";"2020JJ00";"     229"
"2150";"GM0373";"A047047";"2021JJ00";"     244"
"2151";"GM0373";"A047047";"2022JJ00";"     263"
"2152";"GM0373";"A047047";"2023JJ00";"     300"
"2153";"GM0373";"A047047";"2024JJ00";"       ."
"2154";"GM0373";"A047048";"2019JJ00";"     287"
"2155";"GM0373";"A047048";"2020JJ00";"     311"
"2156";"GM0373";"A047048";"2021JJ00";"     330"
"2157";"GM0373";"A047048";"2022JJ00";"     357"
"2158";"GM0373";"A047048";"2023JJ00";"     408"
"2159";"GM0373";"A047048";"2024JJ00";"       ."
"2160";"GM0748";"T001132";"2019JJ00";"     221"
"2161";"GM0748";"T001132";"2020JJ00";"     233"
"2162";"GM0748";"T001132";"2021JJ00";"     249"
"2163";"GM0748";"T001132";"2022JJ00";"     270"
"2164";"GM0748";"T001132";"2023JJ00";"     304"
"2165";"GM0748";"T001132";"2024JJ00";"     312"
"2166";"GM0748";"1014800";"2019JJ00";"     263"
"2167";"GM0748";"1014800";"2020JJ00";"     279"
"2168";"GM0748";"1014800";"2021JJ00";"     298"
"2169";"GM0748";"1014800";"2022JJ00";"     322"
"2170";"GM0748";"1014800";"2023JJ00";"     362"
"2171";"GM0748";"1014800";"2024JJ00";"       ."
"2172";"GM0748";"A047047";"2019JJ00";"     147"
"2173";"GM0748";"A047047";"2020JJ00";"     156"
"2174";"GM0748";"A047047";"2021JJ00";"     164"
"2175";"GM0748";"A047047";"2022JJ00";"     179"
"2176";"GM0748";"A047047";"2023JJ00";"     202"
"2177";"GM0748";"A047047";"2024JJ00";"       ."
"2178";"GM0748";"A047048";"2019JJ00";"     198"
"2179";"GM0748";"A047048";"2020JJ00";"     205"
"2180";"GM0748";"A047048";"2021JJ00";"     217"
"2181";"GM0748";"A047048";"2022JJ00";"     236"
"2182";"GM0748";"A047048";"2023JJ00";"     266"
"2183";"GM0748";"A047048";"2024JJ00";"       ."
"2184";"GM1859";"T001132";"2019JJ00";"     241"
"2185";"GM1859";"T001132";"2020JJ00";"     255"
"2186";"GM1859";"T001132";"2021JJ00";"     273"
"2187";"GM1859";"T001132";"2022JJ00";"     298"
"2188";"GM1859";"T001132";"2023JJ00";"     357"
"2189";"GM1859";"T001132";"2024JJ00";"     370"
"2190";"GM1859";"1014800";"2019JJ00";"     279"
"2191";"GM1859";"1014800";"2020JJ00";"     295"
"2192";"GM1859";"1014800";"2021JJ00";"     314"
"2193";"GM1859";"1014800";"2022JJ00";"     344"
"2194";"GM1859";"1014800";"2023JJ00";"     411"
"2195";"GM1859";"1014800";"2024JJ00";"       ."
"2196";"GM1859";"A047047";"2019JJ00";"     136"
"2197";"GM1859";"A047047";"2020JJ00";"     146"
"2198";"GM1859";"A047047";"2021JJ00";"     162"
"2199";"GM1859";"A047047";"2022JJ00";"     174"
"2200";"GM1859";"A047047";"2023JJ00";"     213"
"2201";"GM1859";"A047047";"2024JJ00";"       ."
"2202";"GM1859";"A047048";"2019JJ00";"     230"
"2203";"GM1859";"A047048";"2020JJ00";"     240"
"2204";"GM1859";"A047048";"2021JJ00";"     251"
"2205";"GM1859";"A047048";"2022JJ00";"     279"
"2206";"GM1859";"A047048";"2023JJ00";"     318"
"2207";"GM1859";"A047048";"2024JJ00";"       ."
"2208";"GM1721";"T001132";"2019JJ00";"     306"
"2209";"GM1721";"T001132";"2020JJ00";"     326"
"2210";"GM1721";"T001132";"2021JJ00";"     333"
"2211";"GM1721";"T001132";"2022JJ00";"     374"
"2212";"GM1721";"T001132";"2023JJ00";"     428"
"2213";"GM1721";"T001132";"2024JJ00";"     457"
"2214";"GM1721";"1014800";"2019JJ00";"     342"
"2215";"GM1721";"1014800";"2020JJ00";"     370"
"2216";"GM1721";"1014800";"2021JJ00";"     378"
"2217";"GM1721";"1014800";"2022JJ00";"     425"
"2218";"GM1721";"1014800";"2023JJ00";"     488"
"2219";"GM1721";"1014800";"2024JJ00";"       ."
"2220";"GM1721";"A047047";"2019JJ00";"     175"
"2221";"GM1721";"A047047";"2020JJ00";"     192"
"2222";"GM1721";"A047047";"2021JJ00";"     196"
"2223";"GM1721";"A047047";"2022JJ00";"     221"
"2224";"GM1721";"A047047";"2023JJ00";"     257"
"2225";"GM1721";"A047047";"2024JJ00";"       ."
"2226";"GM1721";"A047048";"2019JJ00";"     287"
"2227";"GM1721";"A047048";"2020JJ00";"     270"
"2228";"GM1721";"A047048";"2021JJ00";"     268"
"2229";"GM1721";"A047048";"2022JJ00";"     297"
"2230";"GM1721";"A047048";"2023JJ00";"     331"
"2231";"GM1721";"A047048";"2024JJ00";"       ."
"2232";"GM0753";"T001132";"2019JJ00";"     292"
"2233";"GM0753";"T001132";"2020JJ00";"     308"
"2234";"GM0753";"T001132";"2021JJ00";"     321"
"2235";"GM0753";"T001132";"2022JJ00";"     359"
"2236";"GM0753";"T001132";"2023JJ00";"     404"
"2237";"GM0753";"T001132";"2024JJ00";"     428"
"2238";"GM0753";"1014800";"2019JJ00";"     324"
"2239";"GM0753";"1014800";"2020JJ00";"     343"
"2240";"GM0753";"1014800";"2021JJ00";"     359"
"2241";"GM0753";"1014800";"2022JJ00";"     403"
"2242";"GM0753";"1014800";"2023JJ00";"     456"
"2243";"GM0753";"1014800";"2024JJ00";"       ."
"2244";"GM0753";"A047047";"2019JJ00";"     189"
"2245";"GM0753";"A047047";"2020JJ00";"     198"
"2246";"GM0753";"A047047";"2021JJ00";"     207"
"2247";"GM0753";"A047047";"2022JJ00";"     227"
"2248";"GM0753";"A047047";"2023JJ00";"     244"
"2249";"GM0753";"A047047";"2024JJ00";"       ."
"2250";"GM0753";"A047048";"2019JJ00";"     246"
"2251";"GM0753";"A047048";"2020JJ00";"     260"
"2252";"GM0753";"A047048";"2021JJ00";"     269"
"2253";"GM0753";"A047048";"2022JJ00";"     311"
"2254";"GM0753";"A047048";"2023JJ00";"     347"
"2255";"GM0753";"A047048";"2024JJ00";"       ."
"2256";"GM0209";"T001132";"2019JJ00";"     251"
"2257";"GM0209";"T001132";"2020JJ00";"     271"
"2258";"GM0209";"T001132";"2021JJ00";"     291"
"2259";"GM0209";"T001132";"2022JJ00";"     329"
"2260";"GM0209";"T001132";"2023JJ00";"     377"
"2261";"GM0209";"T001132";"2024JJ00";"     391"
"2262";"GM0209";"1014800";"2019JJ00";"     287"
"2263";"GM0209";"1014800";"2020JJ00";"     310"
"2264";"GM0209";"1014800";"2021JJ00";"     332"
"2265";"GM0209";"1014800";"2022JJ00";"     375"
"2266";"GM0209";"1014800";"2023JJ00";"     430"
"2267";"GM0209";"1014800";"2024JJ00";"       ."
"2268";"GM0209";"A047047";"2019JJ00";"     150"
"2269";"GM0209";"A047047";"2020JJ00";"     163"
"2270";"GM0209";"A047047";"2021JJ00";"     176"
"2271";"GM0209";"A047047";"2022JJ00";"     203"
"2272";"GM0209";"A047047";"2023JJ00";"     235"
"2273";"GM0209";"A047047";"2024JJ00";"       ."
"2274";"GM0209";"A047048";"2019JJ00";"       ."
"2275";"GM0209";"A047048";"2020JJ00";"     224"
"2276";"GM0209";"A047048";"2021JJ00";"     245"
"2277";"GM0209";"A047048";"2022JJ00";"     269"
"2278";"GM0209";"A047048";"2023JJ00";"     304"
"2279";"GM0209";"A047048";"2024JJ00";"       ."
"2280";"GM0375";"T001132";"2019JJ00";"     214"
"2281";"GM0375";"T001132";"2020JJ00";"     239"
"2282";"GM0375";"T001132";"2021JJ00";"     259"
"2283";"GM0375";"T001132";"2022JJ00";"     286"
"2284";"GM0375";"T001132";"2023JJ00";"     341"
"2285";"GM0375";"T001132";"2024JJ00";"     336"
"2286";"GM0375";"1014800";"2019JJ00";"     258"
"2287";"GM0375";"1014800";"2020JJ00";"     285"
"2288";"GM0375";"1014800";"2021JJ00";"     309"
"2289";"GM0375";"1014800";"2022JJ00";"     344"
"2290";"GM0375";"1014800";"2023JJ00";"     409"
"2291";"GM0375";"1014800";"2024JJ00";"       ."
"2292";"GM0375";"A047047";"2019JJ00";"     160"
"2293";"GM0375";"A047047";"2020JJ00";"     182"
"2294";"GM0375";"A047047";"2021JJ00";"     196"
"2295";"GM0375";"A047047";"2022JJ00";"     216"
"2296";"GM0375";"A047047";"2023JJ00";"     262"
"2297";"GM0375";"A047047";"2024JJ00";"       ."
"2298";"GM0375";"A047048";"2019JJ00";"     164"
"2299";"GM0375";"A047048";"2020JJ00";"     182"
"2300";"GM0375";"A047048";"2021JJ00";"     199"
"2301";"GM0375";"A047048";"2022JJ00";"     216"
"2302";"GM0375";"A047048";"2023JJ00";"     256"
"2303";"GM0375";"A047048";"2024JJ00";"       ."
"2304";"GM0310";"T001132";"2019JJ00";"     394"
"2305";"GM0310";"T001132";"2020JJ00";"     421"
"2306";"GM0310";"T001132";"2021JJ00";"     446"
"2307";"GM0310";"T001132";"2022JJ00";"     473"
"2308";"GM0310";"T001132";"2023JJ00";"     580"
"2309";"GM0310";"T001132";"2024JJ00";"     580"
"2310";"GM0310";"1014800";"2019JJ00";"     500"
"2311";"GM0310";"1014800";"2020JJ00";"     532"
"2312";"GM0310";"1014800";"2021JJ00";"     562"
"2313";"GM0310";"1014800";"2022JJ00";"     591"
"2314";"GM0310";"1014800";"2023JJ00";"     723"
"2315";"GM0310";"1014800";"2024JJ00";"       ."
"2316";"GM0310";"A047047";"2019JJ00";"     207"
"2317";"GM0310";"A047047";"2020JJ00";"     229"
"2318";"GM0310";"A047047";"2021JJ00";"     247"
"2319";"GM0310";"A047047";"2022JJ00";"     272"
"2320";"GM0310";"A047047";"2023JJ00";"     331"
"2321";"GM0310";"A047047";"2024JJ00";"       ."
"2322";"GM0310";"A047048";"2019JJ00";"     258"
"2323";"GM0310";"A047048";"2020JJ00";"     279"
"2324";"GM0310";"A047048";"2021JJ00";"     291"
"2325";"GM0310";"A047048";"2022JJ00";"     307"
"2326";"GM0310";"A047048";"2023JJ00";"     390"
"2327";"GM0310";"A047048";"2024JJ00";"       ."
"2328";"GM1728";"T001132";"2019JJ00";"     293"
"2329";"GM1728";"T001132";"2020JJ00";"     310"
"2330";"GM1728";"T001132";"2021JJ00";"     331"
"2331";"GM1728";"T001132";"2022JJ00";"     366"
"2332";"GM1728";"T001132";"2023JJ00";"     409"
"2333";"GM1728";"T001132";"2024JJ00";"     434"
"2334";"GM1728";"1014800";"2019JJ00";"     322"
"2335";"GM1728";"1014800";"2020JJ00";"     341"
"2336";"GM1728";"1014800";"2021JJ00";"     366"
"2337";"GM1728";"1014800";"2022JJ00";"     409"
"2338";"GM1728";"1014800";"2023JJ00";"     456"
"2339";"GM1728";"1014800";"2024JJ00";"       ."
"2340";"GM1728";"A047047";"2019JJ00";"     179"
"2341";"GM1728";"A047047";"2020JJ00";"     190"
"2342";"GM1728";"A047047";"2021JJ00";"     200"
"2343";"GM1728";"A047047";"2022JJ00";"     213"
"2344";"GM1728";"A047047";"2023JJ00";"     240"
"2345";"GM1728";"A047047";"2024JJ00";"       ."
"2346";"GM1728";"A047048";"2019JJ00";"     243"
"2347";"GM1728";"A047048";"2020JJ00";"     258"
"2348";"GM1728";"A047048";"2021JJ00";"     272"
"2349";"GM1728";"A047048";"2022JJ00";"     286"
"2350";"GM1728";"A047048";"2023JJ00";"     315"
"2351";"GM1728";"A047048";"2024JJ00";"       ."
"2352";"GM0376";"T001132";"2019JJ00";"     590"
"2353";"GM0376";"T001132";"2020JJ00";"     636"
"2354";"GM0376";"T001132";"2021JJ00";"     686"
"2355";"GM0376";"T001132";"2022JJ00";"     730"
"2356";"GM0376";"T001132";"2023JJ00";"     843"
"2357";"GM0376";"T001132";"2024JJ00";"     858"
"2358";"GM0376";"1014800";"2019JJ00";"     711"
"2359";"GM0376";"1014800";"2020JJ00";"     757"
"2360";"GM0376";"1014800";"2021JJ00";"     816"
"2361";"GM0376";"1014800";"2022JJ00";"     865"
"2362";"GM0376";"1014800";"2023JJ00";"     989"
"2363";"GM0376";"1014800";"2024JJ00";"       ."
"2364";"GM0376";"A047047";"2019JJ00";"     230"
"2365";"GM0376";"A047047";"2020JJ00";"     261"
"2366";"GM0376";"A047047";"2021JJ00";"     280"
"2367";"GM0376";"A047047";"2022JJ00";"     308"
"2368";"GM0376";"A047047";"2023JJ00";"     399"
"2369";"GM0376";"A047047";"2024JJ00";"       ."
"2370";"GM0376";"A047048";"2019JJ00";"     528"
"2371";"GM0376";"A047048";"2020JJ00";"     574"
"2372";"GM0376";"A047048";"2021JJ00";"     623"
"2373";"GM0376";"A047048";"2022JJ00";"     736"
"2374";"GM0376";"A047048";"2023JJ00";"     790"
"2375";"GM0376";"A047048";"2024JJ00";"       ."
"2376";"GM0377";"T001132";"2019JJ00";"     681"
"2377";"GM0377";"T001132";"2020JJ00";"     735"
"2378";"GM0377";"T001132";"2021JJ00";"     775"
"2379";"GM0377";"T001132";"2022JJ00";"     829"
"2380";"GM0377";"T001132";"2023JJ00";"     930"
"2381";"GM0377";"T001132";"2024JJ00";"     905"
"2382";"GM0377";"1014800";"2019JJ00";"     809"
"2383";"GM0377";"1014800";"2020JJ00";"     870"
"2384";"GM0377";"1014800";"2021JJ00";"     916"
"2385";"GM0377";"1014800";"2022JJ00";"     982"
"2386";"GM0377";"1014800";"2023JJ00";"    1104"
"2387";"GM0377";"1014800";"2024JJ00";"       ."
"2388";"GM0377";"A047047";"2019JJ00";"     262"
"2389";"GM0377";"A047047";"2020JJ00";"     288"
