"ID";"RegioS";"Eigendom";"Perioden";"GemiddeldeWOZWaardeVanWoningen_1"
"112";"LD04  ";"A047047";"2023JJ00";"     223"
"113";"LD04  ";"A047047";"2024JJ00";"       ."
"114";"LD04  ";"A047048";"2019JJ00";"     204"
"115";"LD04  ";"A047048";"2020JJ00";"     217"
"116";"LD04  ";"A047048";"2021JJ00";"     227"
"117";"LD04  ";"A047048";"2022JJ00";"     244"
"118";"LD04  ";"A047048";"2023JJ00";"     279"
"119";"LD04  ";"A047048";"2024JJ00";"       ."
"120";"PV20  ";"T001132";"2019JJ00";"     177"
"121";"PV20  ";"T001132";"2020JJ00";"     190"
"122";"PV20  ";"T001132";"2021JJ00";"     205"
"123";"PV20  ";"T001132";"2022JJ00";"     228"
"124";"PV20  ";"T001132";"2023JJ00";"     268"
"125";"PV20  ";"T001132";"2024JJ00";"     279"
"126";"PV20  ";"1014800";"2019JJ00";"     215"
"127";"PV20  ";"1014800";"2020JJ00";"     230"
"128";"PV20  ";"1014800";"2021JJ00";"     249"
"129";"PV20  ";"1014800";"2022JJ00";"     277"
"130";"PV20  ";"1014800";"2023JJ00";"     324"
"131";"PV20  ";"1014800";"2024JJ00";"       ."
"132";"PV20  ";"A047047";"2019JJ00";"     117"
"133";"PV20  ";"A047047";"2020JJ00";"     126"
"134";"PV20  ";"A047047";"2021JJ00";"     137"
"135";"PV20  ";"A047047";"2022JJ00";"     153"
"136";"PV20  ";"A047047";"2023JJ00";"     183"
"137";"PV20  ";"A047047";"2024JJ00";"       ."
"138";"PV20  ";"A047048";"2019JJ00";"     155"
"139";"PV20  ";"A047048";"2020JJ00";"     166"
"140";"PV20  ";"A047048";"2021JJ00";"     178"
"141";"PV20  ";"A047048";"2022JJ00";"     197"
"142";"PV20  ";"A047048";"2023JJ00";"     229"
"143";"PV20  ";"A047048";"2024JJ00";"       ."
"144";"PV21  ";"T001132";"2019JJ00";"     190"
"145";"PV21  ";"T001132";"2020JJ00";"     202"
"146";"PV21  ";"T001132";"2021JJ00";"     217"
"147";"PV21  ";"T001132";"2022JJ00";"     241"
"148";"PV21  ";"T001132";"2023JJ00";"     278"
"149";"PV21  ";"T001132";"2024JJ00";"     290"
"150";"PV21  ";"1014800";"2019JJ00";"     228"
"151";"PV21  ";"1014800";"2020JJ00";"     243"
"152";"PV21  ";"1014800";"2021JJ00";"     262"
"153";"PV21  ";"1014800";"2022JJ00";"     290"
"154";"PV21  ";"1014800";"2023JJ00";"     334"
"155";"PV21  ";"1014800";"2024JJ00";"       ."
"156";"PV21  ";"A047047";"2019JJ00";"     113"
"157";"PV21  ";"A047047";"2020JJ00";"     121"
"158";"PV21  ";"A047047";"2021JJ00";"     132"
"159";"PV21  ";"A047047";"2022JJ00";"     146"
"160";"PV21  ";"A047047";"2023JJ00";"     172"
"161";"PV21  ";"A047047";"2024JJ00";"       ."
"162";"PV21  ";"A047048";"2019JJ00";"     156"
"163";"PV21  ";"A047048";"2020JJ00";"     162"
"164";"PV21  ";"A047048";"2021JJ00";"     170"
"165";"PV21  ";"A047048";"2022JJ00";"     187"
"166";"PV21  ";"A047048";"2023JJ00";"     210"
"167";"PV21  ";"A047048";"2024JJ00";"       ."
"168";"PV22  ";"T001132";"2019JJ00";"     203"
"169";"PV22  ";"T001132";"2020JJ00";"     215"
"170";"PV22  ";"T001132";"2021JJ00";"     230"
"171";"PV22  ";"T001132";"2022JJ00";"     255"
"172";"PV22  ";"T001132";"2023JJ00";"     295"
"173";"PV22  ";"T001132";"2024JJ00";"     307"
"174";"PV22  ";"1014800";"2019JJ00";"     240"
"175";"PV22  ";"1014800";"2020JJ00";"     255"
"176";"PV22  ";"1014800";"2021JJ00";"     272"
"177";"PV22  ";"1014800";"2022JJ00";"     302"
"178";"PV22  ";"1014800";"2023JJ00";"     349"
"179";"PV22  ";"1014800";"2024JJ00";"       ."
"180";"PV22  ";"A047047";"2019JJ00";"     117"
"181";"PV22  ";"A047047";"2020JJ00";"     124"
"182";"PV22  ";"A047047";"2021JJ00";"     133"
"183";"PV22  ";"A047047";"2022JJ00";"     147"
"184";"PV22  ";"A047047";"2023JJ00";"     172"
"185";"PV22  ";"A047047";"2024JJ00";"       ."
"186";"PV22  ";"A047048";"2019JJ00";"     165"
"187";"PV22  ";"A047048";"2020JJ00";"     172"
"188";"PV22  ";"A047048";"2021JJ00";"     181"
"189";"PV22  ";"A047048";"2022JJ00";"     196"
"190";"PV22  ";"A047048";"2023JJ00";"     224"
"191";"PV22  ";"A047048";"2024JJ00";"       ."
"192";"PV23  ";"T001132";"2019JJ00";"     221"
"193";"PV23  ";"T001132";"2020JJ00";"     235"
"194";"PV23  ";"T001132";"2021JJ00";"     251"
"195";"PV23  ";"T001132";"2022JJ00";"     280"
"196";"PV23  ";"T001132";"2023JJ00";"     326"
"197";"PV23  ";"T001132";"2024JJ00";"     344"
"198";"PV23  ";"1014800";"2019JJ00";"     265"
"199";"PV23  ";"1014800";"2020JJ00";"     283"
"200";"PV23  ";"1014800";"2021JJ00";"     302"
"201";"PV23  ";"1014800";"2022JJ00";"     336"
"202";"PV23  ";"1014800";"2023JJ00";"     391"
"203";"PV23  ";"1014800";"2024JJ00";"       ."
"204";"PV23  ";"A047047";"2019JJ00";"     138"
"205";"PV23  ";"A047047";"2020JJ00";"     147"
"206";"PV23  ";"A047047";"2021JJ00";"     159"
"207";"PV23  ";"A047047";"2022JJ00";"     176"
"208";"PV23  ";"A047047";"2023JJ00";"     209"
"209";"PV23  ";"A047047";"2024JJ00";"       ."
"210";"PV23  ";"A047048";"2019JJ00";"     182"
"211";"PV23  ";"A047048";"2020JJ00";"     190"
"212";"PV23  ";"A047048";"2021JJ00";"     202"
"213";"PV23  ";"A047048";"2022JJ00";"     222"
"214";"PV23  ";"A047048";"2023JJ00";"     255"
"215";"PV23  ";"A047048";"2024JJ00";"       ."
"216";"PV24  ";"T001132";"2019JJ00";"     218"
"217";"PV24  ";"T001132";"2020JJ00";"     241"
"218";"PV24  ";"T001132";"2021JJ00";"     262"
"219";"PV24  ";"T001132";"2022JJ00";"     292"
"220";"PV24  ";"T001132";"2023JJ00";"     348"
"221";"PV24  ";"T001132";"2024JJ00";"     362"
"222";"PV24  ";"1014800";"2019JJ00";"     248"
"223";"PV24  ";"1014800";"2020JJ00";"     274"
"224";"PV24  ";"1014800";"2021JJ00";"     297"
"225";"PV24  ";"1014800";"2022JJ00";"     332"
"226";"PV24  ";"1014800";"2023JJ00";"     395"
"227";"PV24  ";"1014800";"2024JJ00";"       ."
"228";"PV24  ";"A047047";"2019JJ00";"     148"
"229";"PV24  ";"A047047";"2020JJ00";"     165"
"230";"PV24  ";"A047047";"2021JJ00";"     181"
"231";"PV24  ";"A047047";"2022JJ00";"     201"
"232";"PV24  ";"A047047";"2023JJ00";"     244"
"233";"PV24  ";"A047047";"2024JJ00";"       ."
"234";"PV24  ";"A047048";"2019JJ00";"     205"
"235";"PV24  ";"A047048";"2020JJ00";"     223"
"236";"PV24  ";"A047048";"2021JJ00";"     240"
"237";"PV24  ";"A047048";"2022JJ00";"     264"
"238";"PV24  ";"A047048";"2023JJ00";"     302"
"239";"PV24  ";"A047048";"2024JJ00";"       ."
"240";"PV25  ";"T001132";"2019JJ00";"     246"
"241";"PV25  ";"T001132";"2020JJ00";"     263"
"242";"PV25  ";"T001132";"2021JJ00";"     281"
"243";"PV25  ";"T001132";"2022JJ00";"     310"
"244";"PV25  ";"T001132";"2023JJ00";"     365"
"245";"PV25  ";"T001132";"2024JJ00";"     380"
"246";"PV25  ";"1014800";"2019JJ00";"     294"
"247";"PV25  ";"1014800";"2020JJ00";"     314"
"248";"PV25  ";"1014800";"2021JJ00";"     335"
"249";"PV25  ";"1014800";"2022JJ00";"     371"
"250";"PV25  ";"1014800";"2023JJ00";"     435"
"251";"PV25  ";"1014800";"2024JJ00";"       ."
"252";"PV25  ";"A047047";"2019JJ00";"     155"
"253";"PV25  ";"A047047";"2020JJ00";"     166"
"254";"PV25  ";"A047047";"2021JJ00";"     177"
"255";"PV25  ";"A047047";"2022JJ00";"     197"
"256";"PV25  ";"A047047";"2023JJ00";"     236"
"257";"PV25  ";"A047047";"2024JJ00";"       ."
"258";"PV25  ";"A047048";"2019JJ00";"     208"
